กลุ่มยา,ชื่อสามัญ,รูปแบบยา/ความแรง,ขนาดบรรจุ,รูปแบบยา,ความแรง,หน่วยความแรง,ขนาดบรรจุ,หน่วยขนาดบรรจุ,ราคากลาง(รวมภาษีมูลค่าเพิ่ม)(บาท),หมายเหตุ
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2a,sterile sol 135 mcg/0.5 ml ,0.5 ml,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2a,sterile sol 180 mcg/0.5 ml ,0.5 ml,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2b,sterile pwdr 100 mcg,1 ขวด ,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2b,sterile pwdr 100 mcg ,1 ขวด ,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2b,sterile pwdr 80 mcg,1 ขวด ,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2b,sterile pwdr 80 mcg ,1 ด้าม,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2b,sterile pwdr 50 mcg,1 ขวด,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Peginterferon  alfa-2b,sterile pwdr 50 mcg ,1 ด้าม,,,,,,3150,หมายเหตุ ราคากลางนี้รวมราคา ribavirin ด้วย
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Sofosbuvir,tab 400 mg,1 เม็ด,,,,,,130,
1. กลุ่มยาสำหรับโรคตับอักเสบซีเรื้อรัง (Chronic Hepatitis C),Sofosbuvir + Ledipasvir acetonate,tab 400 + 90 mg,1 เม็ด,,,,,,200,
2. กลุ่มยาสำหรับโรคตับอักเสบบีเรื้อรัง (Chronic Hepatitis B),Entecavir,tab 0.5 mg,1 เม็ด,,,,,,48,
3. กลุ่มยา Anti-neoplastic drugs,Abiraterone acetate,tab 250 mg,1 เม็ด,,,,,,610,
3. กลุ่มยา Anti-neoplastic drugs,Afatinib dimaleate,tab 20 mg,56 เม็ด,,,,,,60990,
3. กลุ่มยา Anti-neoplastic drugs,Afatinib dimaleate,tab 30 mg,56 เม็ด,,,,,,60990,
3. กลุ่มยา Anti-neoplastic drugs,Afatinib dimaleate,tab 40 mg,56 เม็ด,,,,,,60990,
3. กลุ่มยา Anti-neoplastic drugs,Anastrozole,tab 1 mg,1 เม็ด,,,,,,39.29,
3. กลุ่มยา Anti-neoplastic drugs,Azacitidine,sterile pwdr 100 mg/vial,1 ไวแอล,,,,,,16317.5,
3. กลุ่มยา Anti-neoplastic drugs,Bevacizumab,sterile sol 100 mg/4 ml ,1 ไวแอล,,,,,,9095,
3. กลุ่มยา Anti-neoplastic drugs,Bicalutamide,tab 50 mg,1 เม็ด,,,,,,74.9,
3. กลุ่มยา Anti-neoplastic drugs,Bicalutamide,tab 150 mg,1 เม็ด,,,,,,224.7,
3. กลุ่มยา Anti-neoplastic drugs,Bortezomib,sterile pwdr 3.5 mg,1 ไวแอล,,,,,,53500.0034775,
3. กลุ่มยา Anti-neoplastic drugs,Bortezomib ,sterile pwdr 1 mg,1 ไวแอล,,,,,,19688.00127972,
3. กลุ่มยา Anti-neoplastic drugs,Capecitabine,tab 150 mg,1 เม็ด,,,,,,32.7600021294,
3. กลุ่มยา Anti-neoplastic drugs,Capecitabine,tab 500 mg,1 เม็ด,,,,,,82.03000533195,
3. กลุ่มยา Anti-neoplastic drugs,Carfilzomib ,sterile pwdr 60 mg,1 ไวแอล,,,,,,38211.84,
3. กลุ่มยา Anti-neoplastic drugs,Cetuximab,sterile sol 100 mg/20 ml ,1 ไวแอล,,,,,,9700,
3. กลุ่มยา Anti-neoplastic drugs,Crizotinib,cap 200 mg,1 แคปซูล,,,,,,2764.17,
3. กลุ่มยา Anti-neoplastic drugs,Crizotinib,cap 250 mg,1 แคปซูล,,,,,,2764.17,
3. กลุ่มยา Anti-neoplastic drugs,Dasatinib,tab 50 mg,1 เม็ด,,,,,,1540.8,
3. กลุ่มยา Anti-neoplastic drugs,Dasatinib,tab 70 mg,1 เม็ด,,,,,,2070.83,
3. กลุ่มยา Anti-neoplastic drugs,Dasatinib,tab 20 mg,1 เม็ด,,,,,,707.23,
3. กลุ่มยา Anti-neoplastic drugs,Dasatinib,tab 100 mg,1 เม็ด,,,,,,2958.33,
3. กลุ่มยา Anti-neoplastic drugs,Decitabine,sterile pwdr 50 mg/vial,1 ไวแอล,,,,,,28432.72,
